TICK: 000000 | PC: 00005 | STEP: 0 | IR: jmp 5 | A: 0 | AR: 0 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [] | MEM: - | LATCH: PC | OUT: '' | jmp 5
TICK: 000001 | PC: 00010 | STEP: 0 | IR: literal 0 | A: 0 | AR: 0 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0] | RS: [] | MEM: - | LATCH: DS.push,PC | OUT: '' | literal 0
TICK: 000002 | PC: 00010 | STEP: 1 | IR: store 1 | A: 0 | AR: 1 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0] | RS: [] | MEM: - | LATCH: AR | OUT: '' | store.addr 1
TICK: 000003 | PC: 00015 | STEP: 0 | IR: store 1 | A: 0 | AR: 1 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [] | MEM: write mem[1] <- 0 | LATCH: MEM,PC | OUT: '' | store.write
TICK: 000004 | PC: 00020 | STEP: 0 | IR: literal 0 | A: 0 | AR: 1 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0] | RS: [] | MEM: - | LATCH: DS.push,PC | OUT: '' | literal 0
TICK: 000005 | PC: 00020 | STEP: 1 | IR: store 2 | A: 0 | AR: 2 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0] | RS: [] | MEM: - | LATCH: AR | OUT: '' | store.addr 2
TICK: 000006 | PC: 00025 | STEP: 0 | IR: store 2 | A: 0 | AR: 2 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [] | MEM: write mem[2] <- 0 | LATCH: MEM,PC | OUT: '' | store.write
TICK: 000007 | PC: 00105 | STEP: 0 | IR: call 105 | A: 0 | AR: 2 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [30] | MEM: - | LATCH: RS.push(ret),PC | OUT: '' | call 105
TICK: 000008 | PC: 00105 | STEP: 1 | IR: load 1 | A: 0 | AR: 1 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [30] | MEM: - | LATCH: AR | OUT: '' | load.addr 1
TICK: 000009 | PC: 00110 | STEP: 0 | IR: load 1 | A: 0 | AR: 1 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0] | RS: [30] | MEM: read mem[1] | LATCH: DS.push,PC | OUT: '' | load.read
TICK: 000010 | PC: 00115 | STEP: 0 | IR: literal 0 | A: 0 | AR: 1 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0, 0] | RS: [30] | MEM: - | LATCH: DS.push,PC | OUT: '' | literal 0
TICK: 000011 | PC: 00115 | STEP: 1 | IR: sub | A: 0 | AR: 1 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [30] | MEM: - | LATCH: ALU.left,ALU.right | OUT: '' | sub.load_operands
TICK: 000012 | PC: 00116 | STEP: 0 | IR: sub | A: 0 | AR: 1 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0] | RS: [30] | MEM: - | LATCH: DS.push(ALU),PC | OUT: '' | sub.write_result
