TICK: 000000 | PC: 00005 | STEP: 0 | IR: jmp 5 | A: 0 | AR: 0 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [] | MEM: - | LATCH: PC | OUT: '' | jmp 5
TICK: 000001 | PC: 00011 | STEP: 0 | IR: call 11 | A: 0 | AR: 0 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: RS.push(ret),PC | OUT: '' | call 11
TICK: 000002 | PC: 00016 | STEP: 0 | IR: literal 1 | A: 0 | AR: 0 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [1] | RS: [10] | MEM: - | LATCH: DS.push,PC | OUT: '' | literal 1
TICK: 000003 | PC: 00016 | STEP: 1 | IR: store 1 | A: 0 | AR: 1 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [1] | RS: [10] | MEM: - | LATCH: AR | OUT: '' | store.addr 1
TICK: 000004 | PC: 00021 | STEP: 0 | IR: store 1 | A: 0 | AR: 1 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: write mem[1] <- 1 | LATCH: MEM,PC | OUT: '' | store.write
TICK: 000005 | PC: 00026 | STEP: 0 | IR: literal 0 | A: 0 | AR: 1 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0] | RS: [10] | MEM: - | LATCH: DS.push,PC | OUT: '' | literal 0
TICK: 000006 | PC: 00026 | STEP: 1 | IR: store 2 | A: 0 | AR: 2 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0] | RS: [10] | MEM: - | LATCH: AR | OUT: '' | store.addr 2
TICK: 000007 | PC: 00031 | STEP: 0 | IR: store 2 | A: 0 | AR: 2 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: write mem[2] <- 0 | LATCH: MEM,PC | OUT: '' | store.write
TICK: 000008 | PC: 00036 | STEP: 0 | IR: literal 0 | A: 0 | AR: 2 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0] | RS: [10] | MEM: - | LATCH: DS.push,PC | OUT: '' | literal 0
TICK: 000009 | PC: 00036 | STEP: 1 | IR: store 3 | A: 0 | AR: 3 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0] | RS: [10] | MEM: - | LATCH: AR | OUT: '' | store.addr 3
TICK: 000010 | PC: 00041 | STEP: 0 | IR: store 3 | A: 0 | AR: 3 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: write mem[3] <- 0 | LATCH: MEM,PC | OUT: '' | store.write
