TICK: 000000 | PC: 00000 | STEP: 0 | IR: jmp 5 | A: 0 | AR: 0 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [] | MEM: - | LATCH: IR | OUT: '' | fetch jmp 5
TICK: 000001 | PC: 00005 | STEP: 0 | IR: jmp 5 | A: 0 | AR: 0 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [] | MEM: - | LATCH: PC,IR.clear | OUT: '' | jmp 5
TICK: 000002 | PC: 00005 | STEP: 0 | IR: call 29 | A: 0 | AR: 0 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [] | MEM: - | LATCH: IR | OUT: '' | fetch call 29
TICK: 000003 | PC: 00029 | STEP: 0 | IR: call 29 | A: 0 | AR: 0 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: RS.push(ret),PC,IR.clear | OUT: '' | call 29
TICK: 000004 | PC: 00029 | STEP: 0 | IR: literal 7 | A: 0 | AR: 0 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: IR | OUT: '' | fetch literal 7
TICK: 000005 | PC: 00034 | STEP: 0 | IR: literal 7 | A: 0 | AR: 0 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [7] | RS: [10] | MEM: - | LATCH: DS.push,PC,IR.clear | OUT: '' | literal 7
TICK: 000006 | PC: 00034 | STEP: 0 | IR: store 1 | A: 0 | AR: 0 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [7] | RS: [10] | MEM: - | LATCH: IR | OUT: '' | fetch store 1
TICK: 000007 | PC: 00034 | STEP: 1 | IR: store 1 | A: 0 | AR: 1 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [7] | RS: [10] | MEM: - | LATCH: AR | OUT: '' | store.addr 1
TICK: 000008 | PC: 00039 | STEP: 0 | IR: store 1 | A: 0 | AR: 1 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: write mem[1] <- 7 | LATCH: MEM,PC,IR.clear | OUT: '' | store.write
TICK: 000009 | PC: 00039 | STEP: 0 | IR: call 11 | A: 0 | AR: 1 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: IR | OUT: '' | fetch call 11
TICK: 000010 | PC: 00011 | STEP: 0 | IR: call 11 | A: 0 | AR: 1 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10, 44] | MEM: - | LATCH: RS.push(ret),PC,IR.clear | OUT: '' | call 11
TICK: 000011 | PC: 00011 | STEP: 0 | IR: load 1 | A: 0 | AR: 1 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10, 44] | MEM: - | LATCH: IR | OUT: '' | fetch load 1
TICK: 000012 | PC: 00011 | STEP: 1 | IR: load 1 | A: 0 | AR: 1 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10, 44] | MEM: - | LATCH: AR | OUT: '' | load.addr 1
TICK: 000013 | PC: 00016 | STEP: 0 | IR: load 1 | A: 0 | AR: 1 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [7] | RS: [10, 44] | MEM: read mem[1] | LATCH: DS.push,PC,IR.clear | OUT: '' | load.read
TICK: 000014 | PC: 00016 | STEP: 0 | IR: load 1 | A: 0 | AR: 1 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [7] | RS: [10, 44] | MEM: - | LATCH: IR | OUT: '' | fetch load 1
TICK: 000015 | PC: 00016 | STEP: 1 | IR: load 1 | A: 0 | AR: 1 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [7] | RS: [10, 44] | MEM: - | LATCH: AR | OUT: '' | load.addr 1
TICK: 000016 | PC: 00021 | STEP: 0 | IR: load 1 | A: 0 | AR: 1 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [7, 7] | RS: [10, 44] | MEM: read mem[1] | LATCH: DS.push,PC,IR.clear | OUT: '' | load.read
TICK: 000017 | PC: 00021 | STEP: 0 | IR: mul | A: 0 | AR: 1 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [7, 7] | RS: [10, 44] | MEM: - | LATCH: IR | OUT: '' | fetch mul
TICK: 000018 | PC: 00021 | STEP: 1 | IR: mul | A: 0 | AR: 1 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10, 44] | MEM: - | LATCH: ALU.left,ALU.right | OUT: '' | mul.load_operands
TICK: 000019 | PC: 00022 | STEP: 0 | IR: mul | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [49] | RS: [10, 44] | MEM: - | LATCH: DS.push(ALU),PC,IR.clear | OUT: '' | mul.write_result
TICK: 000020 | PC: 00022 | STEP: 0 | IR: return | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [49] | RS: [10, 44] | MEM: - | LATCH: IR | OUT: '' | fetch return
TICK: 000021 | PC: 00044 | STEP: 0 | IR: return | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [49] | RS: [10] | MEM: - | LATCH: PC,IR.clear | OUT: '' | return
TICK: 000022 | PC: 00044 | STEP: 0 | IR: store 2 | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [49] | RS: [10] | MEM: - | LATCH: IR | OUT: '' | fetch store 2
TICK: 000023 | PC: 00044 | STEP: 1 | IR: store 2 | A: 0 | AR: 2 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [49] | RS: [10] | MEM: - | LATCH: AR | OUT: '' | store.addr 2
