TICK: 000000 | PC: 00005 | STEP: 0 | IR: jmp 5 | A: 0 | AR: 0 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [] | MEM: - | LATCH: PC | OUT: '' | jmp 5
TICK: 000001 | PC: 00011 | STEP: 0 | IR: call 11 | A: 0 | AR: 0 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: RS.push(ret),PC | OUT: '' | call 11
TICK: 000002 | PC: 00016 | STEP: 0 | IR: literal 1 | A: 0 | AR: 0 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [1] | RS: [10] | MEM: - | LATCH: DS.push,PC | OUT: '' | literal 1
TICK: 000003 | PC: 00017 | STEP: 0 | IR: stack_to_a | A: 1 | AR: 0 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: A,PC | OUT: '' | stack_to_a
TICK: 000004 | PC: 00017 | STEP: 1 | IR: a_load_+ | A: 1 | AR: 1 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: AR | OUT: '' | aload.addr
TICK: 000005 | PC: 00017 | STEP: 2 | IR: a_load_+ | A: 1 | AR: 1 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [72] | RS: [10] | MEM: read mem[1] | LATCH: DS.push | OUT: '' | aload.read
TICK: 000006 | PC: 00018 | STEP: 0 | IR: a_load_+ | A: 2 | AR: 1 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [72] | RS: [10] | MEM: - | LATCH: A,PC | OUT: '' | aload.increment
TICK: 000007 | PC: 00019 | STEP: 0 | IR: dup | A: 2 | AR: 1 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [72, 72] | RS: [10] | MEM: - | LATCH: DS.dup,PC | OUT: '' | dup
TICK: 000008 | PC: 00019 | STEP: 1 | IR: if 34 | A: 2 | AR: 1 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [72] | RS: [10] | MEM: - | LATCH: ALU.left | OUT: '' | if.test
TICK: 000009 | PC: 00024 | STEP: 0 | IR: if 34 | A: 2 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [72] | RS: [10] | MEM: - | LATCH: PC | OUT: '' | if.branch
TICK: 000010 | PC: 00024 | STEP: 1 | IR: store 31999 | A: 2 | AR: 31999 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [72] | RS: [10] | MEM: - | LATCH: AR | OUT: '' | store.addr 31999
